stromauskunft;EWV Energie- und Wasser-Versorgung GmbH;EWV Energie- und Wasser-Versorgung GmbH Stolberg
stromauskunft;GELSENWASSER AG;GELSENWASSER AG
stromauskunft;Gemeindewerke Bovenden GmbH & Co. KG;Gemeindewerken Bovenden GmbH & Co. KG
stromauskunft;Gemeindewerke Krickenbach;Gemeindewerke Krickenbach c/o Stadtwerke Kaiserslautern Versorgungs-AG
stromauskunft;Gemeindewerke Rheinzabern;Gemeindewerke Rheinzabern
stromauskunft;Gemeindewerke Stelzenberg;Gemeindewerke Stelzenberg c/o Stadtwerke Kaiserslautern Versorgungs-AG
stromauskunft;Gemeindliche Werke Hengersberg;Gemeindl. Werke Hengersberg
stromauskunft;Green Planet Energy eG;Greenpeace Energy eG
stromauskunft;Grünstromwerk Vertriebs GmbH;Grünstromwerk Vertriebs GmbH - eine Marke der NATURSTROM AG
stromauskunft;Hamburger Energiewerke GmbH;HAMBURG ENERGIE GmbH
stromauskunft;Heinrich Klöcker GmbH & Co.KG;Heinrich Klöcker GmbH & Co. KG
stromauskunft;Hochstiftstrom - eine Marke der Stadtwerke Lemgo GmbH;Stadtwerke Lemgo GmbH
stromauskunft;illwerke vkw Deutschland GmbH;illwerke vkw AG
stromauskunft;Kristal Enerji - eine Marke der Stadtwerke Pforzheim GmbH & Co. KG;Kristal Enerji - eine Marke der Stadtwerke Pforzheim GmbH & Co. KG
stromauskunft;Mainzer Stadtwerke Energie und Service GmbH;Mainzer Stadtwerke Vertrieb und Service GmbH
stromauskunft;Manfred Welsch GmbH;Manfred Welsch GmbH
stromauskunft;NaturEnergie AG;
stromauskunft;naturenergie hochrhein AG;
stromauskunft;NaturStromHandel GmbH;Naturstrom – NaturStromHandel GmbH
stromauskunft;Niedersachsen Ports GmbH & Co.KG Niederlassung Emden;
stromauskunft;ROTHMOSER GMBH & CO. KG;P & M Rothmoser GmbH & Co KG Elektrizitätswerk
stromauskunft;SachsenEnergie AG;
stromauskunft;Stadtwerke Baiersdorf Kommunalunternehmen AdöR;Städtisches Kommunalunternehmen Baiersdorf
stromauskunft;Stadtwerke Bruchsal GmbH;Energie- und Wasserversorgung Bruchsal GmbH
stromauskunft;Stadtwerke Hameln Weserbergland GmbH;Stadtwerke Weserbergland GmbH
stromauskunft;Stadtwerke Hof Energie+Wasser GmbH;HEW HofEnergie+Wasser GmbH
stromauskunft;Stadtwerke Meerbusch GmbH;stm Stadtwerke Meerbusch GmbH
stromauskunft;switch Energievertriebsgesellschaft m.b.H.;Stadtwerke Lindau (B) GmbH & Co. KG
stromauskunft;SWS Energie GmbH;SWS Stadtwerke Stralsund GmbH
stromauskunft;TEAG Thüringer Energie AG;Thüringer Energie AG
stromauskunft;Vereinigte Gas- und Wasserversorgung GmbH;VGW – Vereinigte Gas- und Wasserversorgung GmbH
stromauskunft;Ziegler GmbH & Co. KG;Elektrizitätswerk Kappelrodeck Gustav Ziegler KG
stromauskunft;ÜZ Mainfranken eG;Unterfränkische Überlandzentrale Lülsfeld eG
verivox;AggerEnergie GmbH;Agger Energie GmbH
verivox;Amtswerke Eggebek GmbH & Co KG;
verivox;Bayernwerk Regio Energie GmbH;
verivox;Berliner Stadtwerke EnergiePartner GmbH;Berliner Stadtwerke GmbH
verivox;Bewag - eine Marke der Vattenfall Europe Sales GmbH;-1
verivox;Brillant Energie GmbH - Ein Unternehmen der Stadtwerke Leipzig GmbH;
verivox;Elektrizitätsversorgung Berlin ElVeBe GmbH;
verivox;Elektrizitätswerk Tegernsee Carl Miller KG;Elektrizitätswerk Tegernsee Vertriebs- und Service-KG
verivox;Elektrizitätswerke Schönau Vertriebs GmbH;EWS - Elektrizitätswerke Schönau Vertriebs GmbH
verivox;EMB Energie Brandenburg GmbH;EMB Energie Mark Brandenburg GmbH
verivox;Energie Nordschaumburg GmbH;
verivox;Energie und Wasser Waldbröl GmbH;Energiewerke Waldbröl GmbH
verivox;Energieversorgung Burghausen GmbH;
verivox;Energieversorgung Werther GmbH;EWG Elektrizitätsversorgung Werther GmbH
verivox;Energiewerke Dannstadter Höhe GmbH;Verbandsgemeindewerk Dannstadt-Schauernheim
